ID,X,date,month,day,year,site,County,total,net_hours,capture_rate,wns,site1,long,lat,julian,elev,city,water,town,road,highway,protect,urban,forest,farm,anthro,all,CORA,EPFU,LANO,LABO,LACI,MYGR,MYLE,MYLU,MYSE,MYSO,PESU,MYSP,known,Unknown
207,1,8/7/2000,8,7,2000,Pigeon River/Twelve Mile,Haywood,19,15,1.266666667,pre,pigeon,-83.02490587,35.73228615,84,569.6434014,44.73876252,0.016843061,24.50869573,0.072432153,0.072432153,21.43054305,no,no,no,no,1.266666667,0,0,0,0,0,0,0,0.666666667,0.066666667,0,0.533333333,0,1.266666667,0
208,2,8/8/2000,8,8,2000,Pigeon River/Twelve Mile,Haywood,10,15,0.666666667,pre,pigeon,-83.02490587,35.73228615,85,569.6434014,44.73876252,0.016843061,24.50869573,0.072432153,0.072432153,21.43054305,no,no,no,no,0.666666667,0,0,0,0.2,0,0,0,0.4,0,0,0.066666667,0,0.666666667,0
875,3,5/16/2001,5,16,2001,A-0009 Site N (FS 404),Graham,10,35,0.285714286,pre,fs404,-83.69866445,35.35516704,16,686.3761048,106.5770294,6.388193532,20.55949066,0.011669735,6.85741212,5.79216118,no,yes,yes,yes,0.285714286,0,0,0,0.028571429,0,0,0,0,0.257142857,0,0,0,0.285714286,0
918,4,6/30/2001,6,30,2001,Pigeon River/Twelve Mile,Haywood,70,12,5.833333333,pre,pigeon,-83.02490587,35.73228615,46,569.6434014,44.73876252,0.016843061,24.50869573,0.072432153,0.072432153,21.43054305,no,no,no,no,5.833333333,0,0,0,1.75,0,0,0,2.083333333,0.25,0,1.75,0,5.833333333,0
797,5,8/14/2001,8,14,2001,Nantahala Dam Road,Macon,68,12,5.666666667,pre,nandam,-83.65521478,35.19898384,91,922.5845779,108.8871842,0.021809305,15.24869482,1.264022583,6.70826759,5.957018599,no,yes,yes,yes,5.666666667,0,0.083333333,0,1.333333333,0,0,0.083333333,1.25,1.5,0,1.416666667,0,5.666666667,0
798,6,8/15/2001,8,15,2001,Nantahala Dam Road,Macon,24,10,2.4,pre,nandam,-83.65521478,35.19898384,92,922.5845779,108.8871842,0.021809305,15.24869482,1.264022583,6.70826759,5.957018599,no,yes,yes,yes,2.4,0,0,0,0.4,0,0,0.1,0.5,0.9,0,0.5,0,2.4,0
240,7,6/30/2002,6,30,2002,Alarka Laurel 1,Swain,16,8,2,pre,alarka,-83.35223996,35.33817087,46,1245.047242,77.60157137,7.527673863,12.05086615,2.20725322,7.542582761,1.657052149,no,yes,yes,yes,2,0,0,0,1.375,0.125,0,0.125,0.25,0.125,0,0,0,2,0
158,8,6/30/2002,6,30,2002,Nantahala River Bike Path,Macon,2,6,0.333333333,pre,nanriv,-83.67235065,35.28247084,46,599.8171289,106.7723152,0.010210332,16.40188765,0.084471906,0.084471906,7.738498158,no,yes,no,no,0.333333333,0,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0,0.333333333,0
151,9,7/24/2003,7,24,2003,Big Indian Creek,Macon,1,8,0.125,pre,bigind,-83.51028595,35.04443481,70,1070.100579,106.3431807,0.034296445,19.32496387,6.16994825,7.006409144,2.65649465,no,no,no,no,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,10,7/29/2003,7,29,2003,Nantahala River Bike Path,Macon,24,8,3,pre,nanriv,-83.67235065,35.28247084,75,599.8171289,106.7723152,0.010210332,16.40188765,0.084471906,0.084471906,7.738498158,no,yes,no,no,3,0,2,0,0.25,0,0,0,0.5,0.25,0,0,0,3,0
